ward_section_concatenated,ward,section,month_name,month_number,dates,year,dates_list,date
0101,01,01,APRIL,4,"1,2",2025,1,2025-04-01
0101,01,01,APRIL,4,"1,2",2025,2,2025-04-02
0101,01,01,MAY,5,"13,14",2025,13,2025-05-13
0101,01,01,MAY,5,"13,14",2025,14,2025-05-14
0101,01,01,JUNE,6,"26,27",2025,26,2025-06-26
0101,01,01,JUNE,6,"26,27",2025,27,2025-06-27
0101,01,01,AUGUST,8,"8,11",2025,8,2025-08-08
0101,01,01,AUGUST,8,"8,11",2025,11,2025-08-11
0101,01,01,SEPTEMBER,9,"22,23",2025,22,2025-09-22
0101,01,01,SEPTEMBER,9,"22,23",2025,23,2025-09-23
0101,01,01,NOVEMBER,11,"4,5",2025,4,2025-11-04
0101,01,01,NOVEMBER,11,"4,5",2025,5,2025-11-05
0102,01,02,APRIL,4,"3,4",2025,3,2025-04-03
0102,01,02,APRIL,4,"3,4",2025,4,2025-04-04
0102,01,02,MAY,5,"15,16",2025,15,2025-05-15
0102,01,02,MAY,5,"15,16",2025,16,2025-05-16
0102,01,02,JUNE,6,30,2025,30,2025-06-30
0102,01,02,JULY,7,1,2025,1,2025-07-01
0102,01,02,AUGUST,8,"12,13",2025,12,2025-08-12
0102,01,02,AUGUST,8,"12,13",2025,13,2025-08-13
0102,01,02,SEPTEMBER,9,"24,25",2025,24,2025-09-24
0102,01,02,SEPTEMBER,9,"24,25",2025,25,2025-09-25
0102,01,02,NOVEMBER,11,"6,7",2025,6,2025-11-06
0102,01,02,NOVEMBER,11,"6,7",2025,7,2025-11-07
0103,01,03,APRIL,4,"7,8",2025,7,2025-04-07
0103,01,03,APRIL,4,"7,8",2025,8,2025-04-08
0103,01,03,MAY,5,"19,20",2025,19,2025-05-19
0103,01,03,MAY,5,"19,20",2025,20,2025-05-20
0103,01,03,JULY,7,"2,3",2025,2,2025-07-02
0103,01,03,JULY,7,"2,3",2025,3,2025-07-03
0103,01,03,AUGUST,8,"14,15",2025,14,2025-08-14
0103,01,03,AUGUST,8,"14,15",2025,15,2025-08-15
0103,01,03,SEPTEMBER,9,"26,29",2025,26,2025-09-26
0103,01,03,SEPTEMBER,9,"26,29",2025,29,2025-09-29
0103,01,03,NOVEMBER,11,"10,12",2025,10,2025-11-10
0103,01,03,NOVEMBER,11,"10,12",2025,12,2025-11-12
0104,01,04,APRIL,4,"9,10",2025,9,2025-04-09
0104,01,04,APRIL,4,"9,10",2025,10,2025-04-10
0104,01,04,MAY,5,"21,22",2025,21,2025-05-21
0104,01,04,MAY,5,"21,22",2025,22,2025-05-22
0104,01,04,JULY,7,"7,8",2025,7,2025-07-07
0104,01,04,JULY,7,"7,8",2025,8,2025-07-08
0104,01,04,AUGUST,8,"18,19",2025,18,2025-08-18
0104,01,04,AUGUST,8,"18,19",2025,19,2025-08-19
0104,01,04,SEPTEMBER,9,30,2025,30,2025-09-30
0104,01,04,OCTOBER,10,1,2025,1,2025-10-01
0104,01,04,NOVEMBER,11,"13,14",2025,13,2025-11-13
0104,01,04,NOVEMBER,11,"13,14",2025,14,2025-11-14
0105,01,05,APRIL,4,"11,14",2025,11,2025-04-11
0105,01,05,APRIL,4,"11,14",2025,14,2025-04-14
0105,01,05,MAY,5,"23,27",2025,23,2025-05-23
0105,01,05,MAY,5,"23,27",2025,27,2025-05-27
0105,01,05,JULY,7,"9,10",2025,9,2025-07-09
0105,01,05,JULY,7,"9,10",2025,10,2025-07-10
0105,01,05,AUGUST,8,"20,21",2025,20,2025-08-20
0105,01,05,AUGUST,8,"20,21",2025,21,2025-08-21
0105,01,05,OCTOBER,10,"2,3",2025,2,2025-10-02
0105,01,05,OCTOBER,10,"2,3",2025,3,2025-10-03
0105,01,05,NOVEMBER,11,"17,18",2025,17,2025-11-17
0105,01,05,NOVEMBER,11,"17,18",2025,18,2025-11-18
0106,01,06,APRIL,4,"15,16",2025,15,2025-04-15
0106,01,06,APRIL,4,"15,16",2025,16,2025-04-16
0106,01,06,MAY,5,"28,29",2025,28,2025-05-28
0106,01,06,MAY,5,"28,29",2025,29,2025-05-29
0106,01,06,JULY,7,"11,14",2025,11,2025-07-11
0106,01,06,JULY,7,"11,14",2025,14,2025-07-14
0106,01,06,AUGUST,8,"22,25",2025,22,2025-08-22
0106,01,06,AUGUST,8,"22,25",2025,25,2025-08-25
0106,01,06,OCTOBER,10,"6,7",2025,6,2025-10-06
0106,01,06,OCTOBER,10,"6,7",2025,7,2025-10-07
0106,01,06,NOVEMBER,11,"19,20",2025,19,2025-11-19
0106,01,06,NOVEMBER,11,"19,20",2025,20,2025-11-20
0107,01,07,APRIL,4,"17,18",2025,17,2025-04-17
0107,01,07,APRIL,4,"17,18",2025,18,2025-04-18
0107,01,07,MAY,5,30,2025,30,2025-05-30
0107,01,07,JUNE,6,2,2025,2,2025-06-02
0107,01,07,JULY,7,"15,16",2025,15,2025-07-15
0107,01,07,JULY,7,"15,16",2025,16,2025-07-16
0107,01,07,AUGUST,8,"26,27",2025,26,2025-08-26
0107,01,07,AUGUST,8,"26,27",2025,27,2025-08-27
0107,01,07,OCTOBER,10,"8,9",2025,8,2025-10-08
0107,01,07,OCTOBER,10,"8,9",2025,9,2025-10-09
0107,01,07,NOVEMBER,11,"21,24",2025,21,2025-11-21
0107,01,07,NOVEMBER,11,"21,24",2025,24,2025-11-24
0108,01,08,APRIL,4,"21,22",2025,21,2025-04-21
0108,01,08,APRIL,4,"21,22",2025,22,2025-04-22
0108,01,08,JUNE,6,"3,4",2025,3,2025-06-03
0108,01,08,JUNE,6,"3,4",2025,4,2025-06-04
0108,01,08,JULY,7,"17,18",2025,17,2025-07-17
0108,01,08,JULY,7,"17,18",2025,18,2025-07-18
0108,01,08,AUGUST,8,"28,29",2025,28,2025-08-28
0108,01,08,AUGUST,8,"28,29",2025,29,2025-08-29
0108,01,08,OCTOBER,10,"10,14",2025,10,2025-10-10
0108,01,08,OCTOBER,10,"10,14",2025,14,2025-10-14
0109,01,09,APRIL,4,"23,24",2025,23,2025-04-23
0109,01,09,APRIL,4,"23,24",2025,24,2025-04-24
0109,01,09,JUNE,6,"5,6",2025,5,2025-06-05
0109,01,09,JUNE,6,"5,6",2025,6,2025-06-06
0109,01,09,JULY,7,"21,22",2025,21,2025-07-21
0109,01,09,JULY,7,"21,22",2025,22,2025-07-22
0109,01,09,SEPTEMBER,9,"2,3",2025,2,2025-09-02
0109,01,09,SEPTEMBER,9,"2,3",2025,3,2025-09-03
0109,01,09,OCTOBER,10,"15,16",2025,15,2025-10-15
0109,01,09,OCTOBER,10,"15,16",2025,16,2025-10-16
0110,01,10,APRIL,4,"25,28",2025,25,2025-04-25
0110,01,10,APRIL,4,"25,28",2025,28,2025-04-28
0110,01,10,JUNE,6,"9,10",2025,9,2025-06-09
0110,01,10,JUNE,6,"9,10",2025,10,2025-06-10
0110,01,10,JULY,7,"23,24",2025,23,2025-07-23
0110,01,10,JULY,7,"23,24",2025,24,2025-07-24
0110,01,10,SEPTEMBER,9,"4,5",2025,4,2025-09-04
0110,01,10,SEPTEMBER,9,"4,5",2025,5,2025-09-05
0110,01,10,OCTOBER,10,"17,20",2025,17,2025-10-17
0110,01,10,OCTOBER,10,"17,20",2025,20,2025-10-20
0111,01,11,APRIL,4,"29,30",2025,29,2025-04-29
0111,01,11,APRIL,4,"29,30",2025,30,2025-04-30
0111,01,11,JUNE,6,"11,12",2025,11,2025-06-11
0111,01,11,JUNE,6,"11,12",2025,12,2025-06-12
0111,01,11,JULY,7,"25,28",2025,25,2025-07-25
0111,01,11,JULY,7,"25,28",2025,28,2025-07-28
0111,01,11,SEPTEMBER,9,"8,9",2025,8,2025-09-08
0111,01,11,SEPTEMBER,9,"8,9",2025,9,2025-09-09
0111,01,11,OCTOBER,10,"21,22",2025,21,2025-10-21
0111,01,11,OCTOBER,10,"21,22",2025,22,2025-10-22
